"session","created","modified","ended","expired","career","freecareer","expectations","freeexpectation","topics","freetopic","duration","participation","freeparticipation","contributions","freecontributions","hopes","inclusion","comments","subscribe"
"","2022-07-07 10:08:37","","","","","","","","","","","","","","","","","",""
"HOjUjYsTy9rYw_e-dokIaXBwQypz7RHWE_tL2G03BBfeDUYnpR-es95WPx6yTmqS","2022-07-07 11:11:27","","","","","","","","","","","","","","","","","",""
"d-CPAgq6MEcOtMbsohkk1Qk76g9BZ1rpTHX-JK8XIhuuHpiZl9jKcV-dW5u23Kvl","2022-07-11 09:05:03","","","","","","","","","","","","","","","","","",""
"4OipSqX8bcHhkNb6q1XXBR34llpOtzqa5_yhpQhe-U23nhOp9MspdJn97OpN7MZ7","2022-07-11 09:05:04","","","","","","","","","","","","","","","","","",""
"BcqWaA602Ez2AtM9gou5LdfUhDkuNy78bPtsUUYXRN2InAIFwvRAPOB58CnOgtzy","2022-07-11 09:33:49","","","","","","","","","","","","","","","","","",""
"Qs6PtuXWl-MWjN4GaCtff9SJ_MtgSR422j7N3X2dnn7ELG8NUr9Y35kaIoTmsPqE","2022-07-12 08:04:55","2022-07-12 08:16:13","2022-07-12 08:16:14","","Postdoc","","training, seminar, LMU chat, advocacy","","meta-perspective, meta-publications, news, OSP for beginners, assessing trustworthiness, reproducibility, FAIR data, power, OA, recruitment criteria","","max. 1h, 2-3h, half-day","attend one-to-many, attend comm call, attend JC, attend networking event, read newsletter, contact person, steering group","","","","It would be great to have some kind of tutoring program in which a person experienced with open research helps a novice (few prior experience with open research) to publish the first open research project, e.g., with open data, open material etc. "," I prefer hybrid, synchronous events. This suits best to the current times and makes it really easy to participate.","It would be great to have kind of a welcoming-event, e.g., once at the beginning of the semester, in which the OSIP-community presents itself to new colleagues in the faculty, e.g., new PhD students, but also to old members now interested to this topic.","yes"
"mieuhsAL0kQzCjC0Dib5LMQQrzBTCoQhUPcXJw_loxdwfZZ7oC4BYJfoRMFtoZwE","2022-07-12 08:31:37","2022-07-12 08:36:42","2022-07-12 08:36:43","","PhD","","training, seminar, LMU chat, meta research, advocacy","","meta-publications, news, assessing trustworthiness, reproducibility, FAIR data, QRP, OA","","2-3h, half-day","attend one-to-many, attend JC, attend networking event, contribute newsletter, contact person","","no","","/","/","/","yes"
"7YTaXdlcje1K3OLKczdrqSItmvvSDHbKOjlJlt0CKmuPdWOB6KHGnXH9mq5FgZLt","2022-07-12 08:39:02","2022-07-12 08:43:42","2022-07-12 08:43:42","","other","Associate Professor","training, seminar","","meta-perspective, meta-publications, news, prereg, regrep, reproducibility, FAIR data, power, QRP, OA, recruitment criteria","","max. 1h, 2-3h","attend one-to-many, LMU chat, contact person","","no","","keep going pretty much as this was","--","thank you for being here and enriching me!","yes"
"b6J9WMql9xu8rgu5Vqs_rWMU5u7_fduOc7-5qHA1_Gbh-CG8aNT6AQqMRSChQtWn","2022-07-12 08:51:55","2022-07-12 08:55:05","2022-07-12 08:55:06","","PhD","","seminar, LMU chat, meta research, advocacy","","meta-publications, news, assessing trustworthiness, prereg, regrep, power, OA","","max. 1h","attend one-to-many, lead one-to-many, attend comm call, attend JC, read newsletter, contribute newsletter","","no","","making OS the standard.","online events","--","yes"
"ok9v2DDpptnFad5UCktQzB-o-SFSWYZrdzTXPzDSagtpYVl3V0t1c5o_OBLVvjx-","2022-07-12 08:57:40","2022-07-12 09:13:32","2022-07-12 09:13:32","","Postdoc","","training, seminar, community calls, LMU chat","","meta-perspective, meta-publications, news","","max. 1h, 2-3h","attend one-to-many, lead one-to-many, attend comm call, LMU chat, read newsletter, contact person","","no","","No specific hopes.","I feel comfortable.","No.","yes"
"d2_5t1_VWfKO10uMwvzTSM-Pgt8KnUyhdcFnzGarGKit66HX9ZyMVzQRXDVkKO8F","2022-07-12 09:05:25","","","","","","","","","","","","","","","","","",""
